table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Selected Age Groups by Sex for the United States: April 1, 2010 to July 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,"April 1, 2010",,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
Total,"308,745,538","151,781,326","156,964,212","308,758,105","151,788,777","156,969,328","309,321,666","152,074,758","157,246,908","311,556,874","153,200,058","158,356,816","313,830,990","154,374,397","159,456,593","315,993,715","155,481,926","160,511,789","318,301,008","156,654,424","161,646,584","320,635,163","157,856,394","162,778,769","322,941,311","159,021,785","163,919,526","324,985,539","160,045,920","164,939,619","326,687,501","160,885,734","165,801,767","328,239,523","161,657,324","166,582,199"
.Under 5 years,"20,201,362","10,319,427","9,881,935","20,201,426","10,319,452","9,881,974","20,188,815","10,312,617","9,876,198","20,123,103","10,279,719","9,843,384","19,976,065","10,204,340","9,771,725","19,849,215","10,141,578","9,707,637","19,872,349","10,159,548","9,712,801","19,918,078","10,186,762","9,731,316","19,921,759","10,186,227","9,735,532","19,890,972","10,170,930","9,720,042","19,762,962","10,106,254","9,656,708","19,576,683","10,009,207","9,567,476"
.5 to 9 years,"20,348,657","10,389,638","9,959,019","20,348,744","10,389,675","9,959,069","20,331,228","10,380,298","9,950,930","20,332,498","10,381,356","9,951,142","20,467,140","10,451,708","10,015,432","20,567,323","10,502,378","10,064,945","20,515,031","10,474,281","10,040,750","20,476,769","10,453,530","10,023,239","20,434,232","10,434,079","10,000,153","20,309,346","10,371,605","9,937,741","20,188,285","10,312,624","9,875,661","20,195,895","10,322,762","9,873,133"
.10 to 14 years,"20,677,194","10,579,862","10,097,332","20,677,377","10,579,975","10,097,402","20,680,606","10,578,206","10,102,400","20,712,798","10,586,779","10,126,019","20,669,745","10,560,199","10,109,546","20,650,890","10,544,176","10,106,714","20,665,650","10,546,941","10,118,709","20,604,377","10,512,014","10,092,363","20,621,321","10,522,729","10,098,592","20,767,794","10,601,061","10,166,733","20,868,629","10,654,164","10,214,465","20,798,268","10,618,261","10,180,007"
.15 to 19 years,"22,040,343","11,303,666","10,736,677","22,041,547","11,304,511","10,737,036","21,981,099","11,277,894","10,703,205","21,658,481","11,119,469","10,539,012","21,369,214","10,960,709","10,408,505","21,177,456","10,847,996","10,329,460","21,052,826","10,774,552","10,278,274","21,081,020","10,782,533","10,298,487","21,129,270","10,799,470","10,329,800","21,094,597","10,777,647","10,316,950","21,064,661","10,755,963","10,308,698","21,054,570","10,745,607","10,308,963"
.20 to 24 years,"21,585,999","11,014,176","10,571,823","21,587,573","11,015,251","10,572,322","21,701,298","11,072,082","10,629,216","22,159,198","11,303,591","10,855,607","22,585,960","11,542,727","11,043,233","22,812,234","11,680,740","11,131,494","22,873,939","11,726,278","11,147,661","22,668,650","11,636,577","11,032,073","22,344,607","11,475,837","10,868,770","22,042,321","11,305,787","10,736,534","21,808,086","11,166,165","10,641,921","21,632,940","11,064,752","10,568,188"
.25 to 29 years,"21,101,849","10,635,591","10,466,258","21,103,107","10,636,515","10,466,592","21,142,877","10,660,751","10,482,126","21,280,528","10,744,612","10,535,916","21,384,448","10,821,489","10,562,959","21,569,047","10,933,926","10,635,121","21,950,644","11,145,370","10,805,274","22,409,198","11,391,309","11,017,889","22,913,093","11,655,559","11,257,534","23,328,936","11,881,203","11,447,733","23,510,961","11,992,508","11,518,453","23,509,016","12,004,570","11,504,446"
.30 to 34 years,"19,962,099","9,996,500","9,965,599","19,963,024","9,997,129","9,965,895","20,067,937","10,051,162","10,016,775","20,513,526","10,272,959","10,240,567","20,906,551","10,478,593","10,427,958","21,265,403","10,665,565","10,599,838","21,497,810","10,791,682","10,706,128","21,629,000","10,869,592","10,759,408","21,818,912","10,989,782","10,829,130","21,934,476","11,070,233","10,864,243","22,099,149","11,170,334","10,928,815","22,431,305","11,354,610","11,076,695"
.35 to 39 years,"20,179,642","10,042,022","10,137,620","20,180,492","10,042,579","10,137,913","20,077,263","9,991,819","10,085,444","19,598,032","9,755,000","9,843,032","19,489,489","9,704,403","9,785,086","19,603,293","9,771,719","9,831,574","19,871,215","9,912,803","9,958,412","20,304,700","10,140,455","10,164,245","20,779,399","10,382,866","10,396,533","21,180,305","10,591,534","10,588,771","21,532,022","10,773,276","10,758,746","21,737,521","10,884,941","10,852,580"
.40 to 44 years,"20,890,964","10,393,977","10,496,987","20,891,834","10,394,559","10,497,275","20,903,209","10,399,313","10,503,896","21,035,267","10,457,688","10,577,579","21,021,439","10,448,583","10,572,856","20,841,668","10,348,022","10,493,646","20,530,161","10,187,679","10,342,482","20,132,902","9,990,175","10,142,727","19,679,819","9,769,161","9,910,658","19,576,279","9,718,958","9,857,321","19,681,452","9,781,167","9,900,285","19,921,623","9,907,139","10,014,484"
.45 to 49 years,"22,708,591","11,209,085","11,499,506","22,709,463","11,209,686","11,499,777","22,634,936","11,175,035","11,459,901","22,162,091","10,950,368","11,211,723","21,684,685","10,719,863","10,964,822","21,203,733","10,491,657","10,712,076","20,821,238","10,311,444","10,509,794","20,763,252","10,289,214","10,474,038","20,909,192","10,357,232","10,551,960","20,900,207","10,350,967","10,549,240","20,718,525","10,250,054","10,468,471","20,397,751","10,085,355","10,312,396"
.50 to 54 years,"22,298,125","10,933,274","11,364,851","22,298,808","10,933,752","11,365,056","22,351,456","10,959,294","11,392,162","22,563,625","11,065,640","11,497,985","22,571,467","11,072,951","11,498,516","22,546,195","11,061,026","11,485,169","22,509,694","11,045,266","11,464,428","22,252,279","10,922,374","11,329,905","21,797,837","10,709,628","11,088,209","21,332,133","10,486,678","10,845,455","20,859,181","10,264,519","10,594,662","20,477,151","10,086,611","10,390,540"
.55 to 59 years,"19,664,805","9,523,648","10,141,157","19,665,224","9,523,938","10,141,286","19,793,660","9,587,000","10,206,660","20,256,180","9,813,694","10,442,486","20,765,675","10,063,236","10,702,439","21,171,871","10,268,346","10,903,525","21,457,535","10,415,897","11,041,638","21,732,941","10,559,690","11,173,251","21,940,362","10,664,092","11,276,270","21,946,316","10,670,901","11,275,415","21,917,682","10,658,799","11,258,883","21,877,391","10,642,489","11,234,902"
.60 to 64 years,"16,817,924","8,077,500","8,740,424","16,818,267","8,077,705","8,740,562","16,989,058","8,157,926","8,831,132","17,811,532","8,542,640","9,268,892","17,808,749","8,530,632","9,278,117","18,105,932","8,661,991","9,443,941","18,525,900","8,854,609","9,671,291","19,011,227","9,085,342","9,925,885","19,449,437","9,297,137","10,152,300","19,928,453","9,529,176","10,399,277","20,306,567","9,718,812","10,587,755","20,571,146","9,856,730","10,714,416"
.65 to 69 years,"12,435,263","5,852,547","6,582,716","12,435,567","5,852,722","6,582,845","12,520,579","5,894,811","6,625,768","12,878,295","6,073,045","6,805,250","13,979,404","6,606,866","7,372,538","14,590,860","6,901,259","7,689,601","15,295,394","7,233,909","8,061,485","16,029,148","7,575,892","8,453,256","16,799,653","7,926,529","8,873,124","16,793,231","7,909,083","8,884,148","17,067,219","8,025,207","9,042,012","17,455,001","8,199,773","9,255,228"
.70 to 74 years,"9,278,166","4,243,972","5,034,194","9,278,478","4,244,142","5,034,336","9,335,850","4,273,114","5,062,736","9,607,841","4,403,345","5,204,496","10,012,811","4,598,017","5,414,794","10,602,004","4,878,391","5,723,613","11,057,703","5,090,939","5,966,764","11,456,040","5,281,063","6,174,977","11,789,654","5,443,305","6,346,349","12,811,548","5,930,226","6,881,322","13,381,964","6,200,155","7,181,809","14,028,432","6,499,806","7,528,626"
.75 to 79 years,"7,317,795","3,182,388","4,135,407","7,318,246","3,182,576","4,135,670","7,319,818","3,186,724","4,133,094","7,388,998","3,232,745","4,156,253","7,494,399","3,293,562","4,200,837","7,681,597","3,389,947","4,291,650","7,916,108","3,507,289","4,408,819","8,110,430","3,603,220","4,507,210","8,363,123","3,721,093","4,642,030","8,722,171","3,889,203","4,832,968","9,252,075","4,135,618","5,116,457","9,652,665","4,318,499","5,334,166"
.80 to 84 years,"5,743,327","2,294,374","3,448,953","5,743,925","2,294,580","3,449,345","5,758,470","2,306,346","3,452,124","5,777,688","2,334,442","3,443,246","5,779,112","2,353,957","3,425,155","5,762,047","2,364,381","3,397,666","5,755,572","2,376,793","3,378,779","5,793,272","2,407,293","3,385,979","5,868,100","2,452,915","3,415,185","5,959,281","2,504,028","3,455,253","6,123,781","2,585,562","3,538,219","6,317,207","2,679,724","3,637,483"
.85 years and over,"5,493,433","1,789,679","3,703,754","5,495,003","1,790,030","3,704,973","5,543,507","1,810,366","3,733,141","5,697,193","1,882,966","3,814,227","5,864,637","1,962,562","3,902,075","5,992,947","2,028,828","3,964,119","6,132,239","2,099,144","4,033,095","6,261,880","2,169,359","4,092,521","6,381,541","2,234,144","4,147,397","6,467,173","2,286,700","4,180,473","6,544,300","2,334,553","4,209,747","6,604,958","2,376,488","4,228,470"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Under 18 years,"74,181,467","37,945,136","36,236,331","74,182,279","37,945,653","36,236,626","74,120,666","37,909,054","36,211,612","73,907,524","37,781,480","36,126,044","73,696,664","37,658,779","36,037,885","73,568,702","37,581,308","35,987,394","73,563,723","37,575,375","35,988,348","73,618,051","37,604,082","36,013,969","73,649,413","37,618,371","36,031,042","73,585,346","37,585,705","35,999,641","73,319,145","37,448,504","35,870,641","73,039,150","37,308,668","35,730,482"
.Under 5 years,"20,201,362","10,319,427","9,881,935","20,201,426","10,319,452","9,881,974","20,188,815","10,312,617","9,876,198","20,123,103","10,279,719","9,843,384","19,976,065","10,204,340","9,771,725","19,849,215","10,141,578","9,707,637","19,872,349","10,159,548","9,712,801","19,918,078","10,186,762","9,731,316","19,921,759","10,186,227","9,735,532","19,890,972","10,170,930","9,720,042","19,762,962","10,106,254","9,656,708","19,576,683","10,009,207","9,567,476"
.5 to 13 years,"36,859,869","18,833,957","18,025,912","36,860,062","18,834,054","18,026,008","36,866,367","18,835,659","18,030,708","36,914,435","18,857,785","18,056,650","37,002,098","18,897,890","18,104,208","37,070,630","18,926,421","18,144,209","36,949,328","18,857,741","18,091,587","36,898,953","18,831,056","18,067,897","36,960,578","18,868,614","18,091,964","36,952,743","18,869,751","18,082,992","36,892,306","18,842,511","18,049,795","36,829,704","18,815,383","18,014,321"
.14 to 17 years,"17,120,236","8,791,752","8,328,484","17,120,791","8,792,147","8,328,644","17,065,484","8,760,778","8,304,706","16,869,986","8,643,976","8,226,010","16,718,501","8,556,549","8,161,952","16,648,857","8,513,309","8,135,548","16,742,046","8,558,086","8,183,960","16,801,020","8,586,264","8,214,756","16,767,076","8,563,530","8,203,546","16,741,631","8,545,024","8,196,607","16,663,877","8,499,739","8,164,138","16,632,763","8,484,078","8,148,685"
.18 to 64 years,"194,296,087","96,473,230","97,822,857","194,304,607","96,479,074","97,825,533","194,722,776","96,694,343","98,028,433","196,299,335","97,492,035","98,807,300","197,003,963","97,900,654","99,103,309","197,795,558","98,337,812","99,457,746","198,580,269","98,770,975","99,809,294","199,366,342","99,215,485","100,150,857","200,089,827","99,625,428","100,464,399","200,646,789","99,940,975","100,705,814","200,999,017","100,156,135","100,842,882","201,142,110","100,274,366","100,867,744"
.18 to 24 years,"30,672,088","15,661,633","15,010,455","30,674,388","15,663,211","15,011,177","30,762,380","15,712,043","15,050,337","31,078,554","15,889,434","15,189,120","31,371,460","16,060,904","15,310,556","31,488,416","16,135,560","15,352,856","31,416,072","16,106,225","15,309,847","31,130,843","15,967,334","15,163,509","30,801,776","15,799,971","15,001,805","30,519,684","15,641,325","14,878,359","30,373,478","15,546,666","14,826,812","30,219,206","15,451,921","14,767,285"
.25 to 44 years,"82,134,554","41,068,090","41,066,464","82,138,457","41,070,782","41,067,675","82,191,286","41,103,045","41,088,241","82,427,353","41,230,259","41,197,094","82,801,927","41,453,068","41,348,859","83,279,411","41,719,232","41,560,179","83,849,830","42,037,534","41,812,296","84,475,800","42,391,531","42,084,269","85,191,223","42,797,368","42,393,855","86,019,996","43,261,928","42,758,068","86,823,584","43,717,285","43,106,299","87,599,465","44,151,260","43,448,205"
.45 to 64 years,"81,489,445","39,743,507","41,745,938","81,491,762","39,745,081","41,746,681","81,769,110","39,879,255","41,889,855","82,793,428","40,372,342","42,421,086","82,830,576","40,386,682","42,443,894","83,027,731","40,483,020","42,544,711","83,314,367","40,627,216","42,687,151","83,759,699","40,856,620","42,903,079","84,096,828","41,028,089","43,068,739","84,107,109","41,037,722","43,069,387","83,801,955","40,892,184","42,909,771","83,323,439","40,671,185","42,652,254"
.65 years and over,"40,267,984","17,362,960","22,905,024","40,271,219","17,364,050","22,907,169","40,478,224","17,471,361","23,006,863","41,350,015","17,926,543","23,423,472","43,130,363","18,814,964","24,315,399","44,629,455","19,562,806","25,066,649","46,157,016","20,308,074","25,848,942","47,650,770","21,036,827","26,613,943","49,202,071","21,777,986","27,424,085","50,753,404","22,519,240","28,234,164","52,369,339","23,281,095","29,088,244","54,058,263","24,074,290","29,983,973"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.16 years and over,"243,275,505","118,315,377","124,960,128","243,287,612","118,322,571","124,965,041","243,890,166","118,633,287","125,256,879","246,230,195","119,823,156","126,407,039","248,574,883","121,041,728","127,533,155","250,778,475","122,173,240","128,605,235","253,085,150","123,345,649","129,739,501","255,388,182","124,532,236","130,855,946","257,764,910","125,735,742","132,029,168","259,906,758","126,806,187","133,100,571","261,729,914","127,703,104","134,026,810","263,493,218","128,577,374","134,915,844"
.18 years and over,"234,564,071","113,836,190","120,727,881","234,575,826","113,843,124","120,732,702","235,201,000","114,165,704","121,035,296","237,649,350","115,418,578","122,230,772","240,134,326","116,715,618","123,418,708","242,425,013","117,900,618","124,524,395","244,737,285","119,079,049","125,658,236","247,017,112","120,252,312","126,764,800","249,291,898","121,403,414","127,888,484","251,400,193","122,460,215","128,939,978","253,368,356","123,437,230","129,931,126","255,200,373","124,348,656","130,851,717"
.15 to 44 years,"125,760,896","63,385,932","62,374,964","125,767,577","63,390,544","62,377,033","125,873,683","63,453,021","62,420,662","126,245,032","63,653,319","62,591,713","126,757,101","63,956,504","62,800,597","127,269,101","64,247,968","63,021,133","127,776,595","64,538,364","63,238,231","128,225,470","64,810,641","63,414,829","128,665,100","65,072,675","63,592,425","129,156,914","65,345,362","63,811,552","129,696,331","65,639,413","64,056,918","130,286,975","65,961,619","64,325,356"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median age (years),37.2,35.8,38.5,37.2,35.8,38.5,37.2,35.9,38.5,37.3,36.0,38.6,37.4,36.1,38.8,37.6,36.2,38.9,37.7,36.3,39.0,37.8,36.4,39.1,37.9,36.6,39.2,38.0,36.8,39.4,38.2,37.0,39.5,38.4,37.2,39.7
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. Median age is calculated based on single year of age. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Selected Age Groups by Sex for the United States: April 1, 2010 to July 1, 2019 (NC-EST2019-AGESEX)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date: June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
